都道府県名,市町村名,対象場所,URL,現在画像URL,通常画像URL
茨城県,常総市,篠山水門,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010033,https://www.river.go.jp/e/cctv/latest/8010033/07_A.jpg,https://www.river.go.jp/e/cctv/usual/8010033/hp7.jpg
茨城県,常総市,花島町地先,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010034,https://www.river.go.jp/e/cctv/latest/8010034/91_A.jpg,https://www.river.go.jp/e/cctv/usual/8010034/hp91.jpg
茨城県,常総市,美妻橋,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010035,https://www.river.go.jp/e/cctv/latest/8010035/90_A.jpg,https://www.river.go.jp/e/cctv/usual/8010035/hp90.jpg
茨城県,常総市,中妻町地先,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010036,https://www.river.go.jp/e/cctv/latest/8010036/89_A.jpg,https://www.river.go.jp/e/cctv/usual/8010036/hp89.jpg
茨城県,常総市,千代田掘排水樋管,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010037,https://www.river.go.jp/e/cctv/latest/8010037/88_A.jpg,https://www.river.go.jp/e/cctv/usual/8010037/hp88.jpg
茨城県,常総市,豊坂樋管,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010038,https://www.river.go.jp/e/cctv/latest/8010038/87_A.jpg,https://www.river.go.jp/e/cctv/usual/8010038/hp87.jpg
茨城県,常総市,高野救急排水機場,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010082,https://www.river.go.jp/e/cctv/latest/8010082/86_A.jpg,https://www.river.go.jp/e/cctv/usual/8010082/hp86.jpg
茨城県,常総市,浄化センター,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010083,https://www.river.go.jp/e/cctv/latest/8010083/85_D.jpg,https://www.river.go.jp/e/cctv/usual/8010083/hp85.jpg
茨城県,常陸太田市,幸久橋,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271001,https://www.river.go.jp/e/cctv/latest/21271001/liveCamera03.jpg?tsec=1497580500582,https://www.river.go.jp/e/cctv/usual/21271001/normal03.jpg?tsec=1497580500582
茨城県,常陸太田市,山田川合流点,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271003,https://www.river.go.jp/e/cctv/latest/21271003/C03034.jpg,
茨城県,常陸太田市,木島大橋（久慈川左岸16.1kp）,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271004,https://www.river.go.jp/e/cctv/latest/21271004/C03578.jpg,
茨城県,常陸太田市,機初水位観測所,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271021,https://www.river.go.jp/e/cctv/latest/21271021/C03040.jpg,
茨城県,常陸太田市,常井橋水位観測所,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271031,https://www.river.go.jp/e/cctv/latest/21271031/C03035.jpg,
茨城県,取手市,新町樋管,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010006,https://www.river.go.jp/e/cctv/latest/8010006/camera001_101.jpg,
茨城県,取手市,相野谷川排水機場　本川,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010055,https://www.river.go.jp/e/cctv/latest/8010055/C01130.jpg,
茨城県,取手市,取手市岡地先,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010053,https://www.river.go.jp/e/cctv/latest/8010053/15_D.jpg,https://www.river.go.jp/e/cctv/usual/8010053/hp15.jpg
茨城県,取手市,藤代防災ステーション,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010054,https://www.river.go.jp/e/cctv/latest/8010054/11_A.jpg,https://www.river.go.jp/e/cctv/usual/8010054/hp11.jpg
茨城県,取手市,文巻水位観測所,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010080,https://www.river.go.jp/e/cctv/latest/8010080/10_A.jpg,https://www.river.go.jp/e/cctv/usual/8010080/hp10.jpg
茨城県,ひたちなか市,新那珂川大橋２,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271101,https://www.river.go.jp/e/cctv/latest/21271101/liveCamera12.jpg?tsec=1446632100366,https://www.river.go.jp/e/cctv/usual/21271101/normal12.jpg
茨城県,ひたちなか市,海門橋（那珂川右岸0.1kp）,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271103,https://www.river.go.jp/e/cctv/latest/21271103/C03576.jpg,
茨城県,ひたちなか市,新那珂川大橋１,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271108,https://www.river.go.jp/e/cctv/latest/21271108/C03050.jpg,
茨城県,鹿嶋市,神宮橋,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270040,https://www.river.go.jp/e/cctv/latest/21270040/C03145.jpg,https://www.river.go.jp/e/cctv/usual/21270040/000780597.jpg
茨城県,鹿嶋市,掘割川,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270042,https://www.river.go.jp/e/cctv/latest/21270042/C03166.jpg,https://www.river.go.jp/e/cctv/usual/21270042/000780600.jpg
茨城県,潮来市,麻生湖岸,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270009,https://www.river.go.jp/e/cctv/latest/21270009/C03119.jpg,https://www.river.go.jp/e/cctv/usual/21270009/000780562.jpg
茨城県,潮来市,永山,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270011,https://www.river.go.jp/e/cctv/latest/21270011/C03160.jpg,https://www.river.go.jp/e/cctv/usual/21270011/000779297.jpg
茨城県,潮来市,水原洲吠崎,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270013,https://www.river.go.jp/e/cctv/latest/21270013/C03156.jpg,https://www.river.go.jp/e/cctv/usual/21270013/000780564.jpg
茨城県,潮来市,霞ヶ浦河川事務所,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270005,https://www.river.go.jp/e/cctv/latest/21270005/C03118.jpg,https://www.river.go.jp/e/cctv/usual/21270005/000780558.jpg
茨城県,潮来市,新横利根閘門,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270006,https://www.river.go.jp/e/cctv/latest/21270006/C03130.jpg,https://www.river.go.jp/e/cctv/usual/21270006/000780559.jpg
茨城県,潮来市,トンボ公園,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270008,https://www.river.go.jp/e/cctv/latest/21270008/C03155.jpg,https://www.river.go.jp/e/cctv/usual/21270008/000780560.jpg
茨城県,潮来市,加藤洲,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270014,https://www.river.go.jp/e/cctv/latest/21270014/C03164.jpg,https://www.river.go.jp/e/cctv/usual/21270014/000780565.jpg
茨城県,潮来市,前川水門,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270015,https://www.river.go.jp/e/cctv/latest/21270015/C03129.jpg,https://www.river.go.jp/e/cctv/usual/21270015/000780566.jpg
茨城県,守谷市,三ツ堀　水位監視,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=12010020,https://www.river.go.jp/e/cctv/latest/12010020/cam42_640.jpg,https://www.river.go.jp/e/cctv/usual/12010020/cam42_640.jpg
茨城県,守谷市,常総橋（県）上流,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010050,https://www.river.go.jp/e/cctv/latest/8010050/16_A.jpg,https://www.river.go.jp/e/cctv/usual/8010050/hp16.jpg
茨城県,常陸大宮市,富岡橋　久慈川左岸25.3kp,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271005,https://www.river.go.jp/e/cctv/latest/21271005/C03577.jpg,
茨城県,常陸大宮市,辰ノ口,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271006,https://www.river.go.jp/e/cctv/latest/21271006/C03036.jpg,
茨城県,常陸大宮市,野口,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271105,https://www.river.go.jp/e/cctv/latest/21271105/C03043.jpg,
茨城県,常陸大宮市,飯野（那珂川右岸46.5kp）,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271120,https://www.river.go.jp/e/cctv/latest/21271120/C03055.jpg,
茨城県,那珂市,幸久橋,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271001,https://www.river.go.jp/e/cctv/latest/21271001/liveCamera03.jpg?tsec=1497580500582,https://www.river.go.jp/e/cctv/usual/21271001/normal03.jpg?tsec=1497580500582
茨城県,那珂市,山田川合流点,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271003,https://www.river.go.jp/e/cctv/latest/21271003/C03034.jpg,
茨城県,那珂市,木島大橋（久慈川左岸16.1kp）,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271004,https://www.river.go.jp/e/cctv/latest/21271004/C03578.jpg,
茨城県,那珂市,江川樋門,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21271104,https://www.river.go.jp/e/cctv/latest/21271104/C03041.jpg,
茨城県,筑西市,黒子水位観測所,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010011,https://www.river.go.jp/e/cctv/latest/8010011/05_A.jpg,https://www.river.go.jp/e/cctv/usual/8010011/hp5.jpg
茨城県,筑西市,常磐橋,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010045,https://www.river.go.jp/e/cctv/latest/8010045/35_A.jpg,https://www.river.go.jp/e/cctv/usual/8010045/hp35.jpg
茨城県,筑西市,筑西市福岡新田地先,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010046,https://www.river.go.jp/e/cctv/latest/8010046/28_D.jpg,https://www.river.go.jp/e/cctv/usual/8010046/hp28.jpg
茨城県,筑西市,川島水位観測所,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010010,https://www.river.go.jp/e/cctv/latest/8010010/02_A.jpg,https://www.river.go.jp/e/cctv/usual/8010010/hp2.jpg
茨城県,筑西市,JR水戸線鬼怒川鉄橋,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010047,https://www.river.go.jp/e/cctv/latest/8010047/80_A.jpg,https://www.river.go.jp/e/cctv/usual/8010047/hp80.jpg
茨城県,筑西市,田川合流点,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010077,https://www.river.go.jp/e/cctv/latest/8010077/79_A.jpg,https://www.river.go.jp/e/cctv/usual/8010077/hp79.jpg
茨城県,筑西市,結城市上山川地先,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010078,https://www.river.go.jp/e/cctv/latest/8010078/78_A.jpg,https://www.river.go.jp/e/cctv/usual/8010078/hp78.jpg
茨城県,筑西市,鬼怒川水管橋,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010079,https://www.river.go.jp/e/cctv/latest/8010079/77_A.jpg,https://www.river.go.jp/e/cctv/usual/8010079/hp77.jpg
茨城県,坂東市,むしろ打 水位監視,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010013,https://www.river.go.jp/e/cctv/latest/8010013/cam28_640.jpg?1469690168118,https://www.river.go.jp/e/cctv/usual/8010013/cam28_640.jpg
茨城県,坂東市,目吹揚排水機場上流,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=12010014,https://www.river.go.jp/e/cctv/latest/12010014/cam38_640.jpg,https://www.river.go.jp/e/cctv/usual/12010014/cam38_640.jpg
茨城県,稲敷市,利根川横利根（茨城県稲敷市）,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=8010004,https://www.river.go.jp/e/cctv/latest/8010004/camera004_101.jpg,
茨城県,稲敷市,西浦耕地,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270012,https://www.river.go.jp/e/cctv/latest/21270012/C03154.jpg,https://www.river.go.jp/e/cctv/usual/21270012/000780563.jpg
茨城県,稲敷市,妙岐ノ鼻,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270025,https://www.river.go.jp/e/cctv/latest/21270025/C03128.jpg,https://www.river.go.jp/e/cctv/usual/21270025/000780577.jpg
茨城県,稲敷市,浮島,https://www.river.go.jp/kawabouStt/ipCamera.do?gamenId=01-0710&cameraId=21270026,https://www.river.go.jp/e/cctv/latest/21270026/C03127.jpg,https://www.river.go.jp/e/cctv/usual/21270026/000780578.jpg
