種別,提供元,タイトル,リンク,発行日時,サマリ,エリア(都道府県)
,テレビ大阪,大阪府の吉村知事　万博担当大臣を歓迎＆18日から大阪独自の新たな飲食店支援を開始(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200916-00000001-tvosaka-l27&source=rss,2020-09-16T10:18:02.000Z,9月16日の組閣を受けて大阪府の吉村知事は万博の担当大臣設置を歓迎する考えを示しました。【吉村知事】「(万博担当大臣は)東京選出の方ですけど、大阪は松井さんも僕も個性が強いので、バランスがとれ,大阪府
,テレビ大阪,「ほな　さいなら」大阪で100年 ふぐ料理専門店づぼらや閉店(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200915-00000002-tvosaka-l27&source=rss,2020-09-15T09:43:02.000Z,大阪で親しまれること１００年。ふぐ料理専門店づぼらやがその歴史に幕を下ろしました。【街の人は】「大阪のシンボルが無くなり寂しいですね」１９２０年　大阪・新世界に創業した「づぼらや」。戦後,大阪府
,テレビ大阪,京都 　ホテルと一体化？新しいホテル誕生へ(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200915-00000001-tvosaka-l27&source=rss,2020-09-15T09:42:03.000Z,京都らしさがあふれる、日本でも珍しいホテルがオープンします。９月２８日にオープンするこちらのホテル。一見普通のホテルですが…【記者リポート】「実はこちらのホテル…お寺と一体化しているんです,大阪府
,テレビ大阪,飲食店倒産件数全国ワーストの大阪　リサイクル業者が大忙し？(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200914-00000001-tvosaka-l27&source=rss,2020-09-14T09:32:02.000Z,新型コロナウイルスの影響で苦境が続く飲食業界。業界の盛衰を見つめてきたある業者を取材しました。大阪心斎橋の商業施設。午前１０時、新型コロナの影響で閉店した中華料理店から流し台や冷蔵庫などが運び,大阪府
,テレビ大阪,鴈治郎に愛之助も　大阪でも本格的な歌舞伎公演　新型コロナで自粛していた イベント再開の動きが活発に(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200911-00000002-tvosaka-l27&source=rss,2020-09-11T11:05:02.000Z,９月１１日夕方に開かれる政府の分科会では、現在、最大５０００人とされるイベントの入場制限緩和についても話し合われる予定です。そんな中、関西でも徐々にイベント再開の動きが進んでいます。大阪城公園に,大阪府
,テレビ大阪,ＧｏＴｏトラベルに東京追加へ 関西の旅行業界は(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200911-00000001-tvosaka-l27&source=rss,2020-09-11T10:54:02.000Z,１０月１日からＧｏＴｏトラベルの対象に東京都が追加されることになりそうです。関西の旅行業界は---。【赤羽国土交通大臣】「東京都を目的とする旅行、東京都に居住する方の旅行を１０月１日からＧoＴo,大阪府
,テレビ大阪,コロナ禍　京都の大学生の苦悩(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200910-00000004-tvosaka-l27&source=rss,2020-09-10T10:32:01.000Z,新型コロナの影響でオンライン授業ばかりを強いられている大学生。京都府の西脇知事が学生たちの生の声を聞きました。西脇知事は9月9日、看護学科をもつ京都市内の大学へ訪れ授業を視察しました。,大阪府
,テレビ大阪,エコドライブで燃費が40％も改善(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200910-00000003-tvosaka-l27&source=rss,2020-09-10T09:58:02.000Z,車を運転するとき、あることに気を付けると「安全に」そして「お得に」運転できるんです。大阪の自動車学校で行われた「エコトレーニング」二酸化炭素の排出量などの削減を考えた環境に優しい運転,大阪府
,テレビ大阪,大阪府　事業見直し「新型コロナに1050億円」と吉村知事(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200910-00000002-tvosaka-l27&source=rss,2020-09-10T09:54:02.000Z,大阪府は総額１０５０億円規模の事業を新型コロナ対策へシフトします。大阪府は新型コロナ対策の長期化が見込まれることから今年２月に取り決めた事業の見直しを行います。対象となるのは４４７の事業,大阪府
,テレビ大阪,9月９日は救急の日　ヘリコプター搬送の訓練実施(テレビ大阪ニュース),https://headlines.yahoo.co.jp/hl?a=20200910-00000001-tvosaka-l27&source=rss,2020-09-10T09:46:02.000Z,きょう９月９日は、救急の日です。南海トラフ地震が発生した想定で救急搬送訓練が行われました。【記者リポ―ト】海上保安本部の中型ヘリコプターしらさぎがまもなくグラウンドに着陸します9月9,大阪府
